"","tk","pl","dia","hs","tc","cta","id_art","id_subsubfam","id_subfam","id_fam","id_famn","id_seccion","id_subagr","id_agr","vta","uni","id_artn","art_sp","fam_sp","fam_en"
"1270","120071024003014254",1,"2007/10/24",0.525462985038757,95785231,9578523,"21818","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.479999989271164,1,21818,"MACARRONES       500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1271","120070713003083362",1,"2007/07/13",0.766805589199066,714481,71448,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1272","120071022004081690",1,"2007/10/22",0.579907417297363,28491841,2849184,"562863","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.949999988079071,1,562863,"PENNE RIGATE     500 G Brand_1","PASTA ALIMENTICIA SE","pasta"
"1273","120071109003019183",1,"2007/11/09",0.455208331346512,8275021,827502,"22117","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.790000021457672,1,22117,"FIDEOS 2         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1274","120070628004059745",1,"2007/06/28",0.522361099720001,87242821,8724282,"22117","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22117,"FIDEOS 2         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1278","120070811003091597",1,"2007/08/11",0.876493036746979,4092462,409246,"22117","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22117,"FIDEOS 2         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1279","120070919002044716",1,"2007/09/19",0.422048628330231,122290691,12229069,"21817","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.680000007152557,1,21817,"FIDEO GRUESO 500GR Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1281","120070605004054195",1,"2007/06/05",0.464560180902481,714481,71448,"21818","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.379999995231628,1,21818,"MACARRONES       500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1282","120070522003066626",1,"2007/05/22",0.507430553436279,87242821,8724282,"22121","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22121,"SPAGUETTI 2      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1283","120070903003097681",1,"2007/09/03",0.762534737586975,5898511,589851,"21814","0101070640100","01010706401","010107064",10107064,"010107","0101","01",3.35999989509583,7,21814,"SPAGHETTI        500 G Store_Brand","PASTA ALIMENTICIA SE","pasta"
"1284","120071017003012036",1,"2007/10/17",0.762905120849609,714481,71448,"110023","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,110023,"PLUMAS RAYADAS  500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1285","120070524002020731",1,"2007/05/24",0.480462968349457,110001591,11000159,"22119","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.709999978542328,1,22119,"FIDEOS 4         500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1286","120070906004072469",1,"2007/09/06",0.545960664749146,95931501,9593150,"28914","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.490000009536743,1,28914,"FIDEO FIDEUÁ      500 Brand_7","PASTA ALIMENTICIA SE","pasta"
"1287","120070920003003501",1,"2007/09/20",0.603171288967133,109740861,10974086,"22122","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.689999997615814,1,22122,"SPAGUETTI 3      500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
"1288","120070918003002307",1,"2007/09/18",0.396678239107132,87242821,8724282,"22129","0101070640100","01010706401","010107064",10107064,"010107","0101","01",0.800000011920929,1,22129,"PIÑONES          500 G Brand_4","PASTA ALIMENTICIA SE","pasta"
